id,name,url,institution
1046,Programming Mobile Applications for Android Handheld Systems: Part 1,https://www.classcentral.com/course/androidpart1-1178,"University of Maryland, College Park"
1047,"Programming Languages, Part A",https://www.classcentral.com/course/programming-languages-452,University of Washington
1048,Programming Mobile Applications for Android Handheld Systems: Part 2,https://www.classcentral.com/course/androidpart2-3076,"University of Maryland, College Park"
1049,Code Yourself! An Introduction to Programming,https://www.classcentral.com/course/codeyourself-2938,University of Edinburgh
1050,Creative Programming for Digital Media & Mobile Apps,https://www.classcentral.com/course/digitalmedia-529,University of London International Programmes
1051,Introdução ao Controle Moderno,https://www.classcentral.com/course/controle-moderno-8482,Instituto Tecnológico de Aeronáutica
1052,Learn to Program: Crafting Quality Code,https://www.classcentral.com/course/programming2-390,University of Toronto
1053,"Online Games: Literature, New Media, and Narrative",https://www.classcentral.com/course/onlinegames-544,Vanderbilt University
1054,Interactive Computer Graphics,https://www.classcentral.com/course/interactivegraphics-2067,The University of Tokyo
1055,Python Programming: A Concise Introduction,https://www.classcentral.com/course/python-programming-introduction-7087,Wesleyan University
1056,Introduction à la programmation orientée objet (en C++),https://www.classcentral.com/course/intropoocpp-849,École Polytechnique Fédérale de Lausanne
1057,Initiation à la programmation (en C++),https://www.classcentral.com/course/initprogcpp-644,École Polytechnique Fédérale de Lausanne
1058,"Problem Solving, Python Programming, and Video Games",https://www.classcentral.com/course/problem-solving-programming-video-games-11500,University of Alberta
1059,Introducción a la programación en Python I: Aprendiendo a programar con Python,https://www.classcentral.com/course/aprendiendo-programar-python-8900,Pontificia Universidad Católica de Chile
1060,¡A Programar! Una introducción a la programación,https://www.classcentral.com/course/aprogramar-2939,University of Edinburgh
1061,Introduction à la programmation orientée objet (en Java),https://www.classcentral.com/course/intropoojava-441,École Polytechnique Fédérale de Lausanne
1062,Initiation à la programmation (en Java),https://www.classcentral.com/course/initprogjava-643,École Polytechnique Fédérale de Lausanne
1063,Optimizing Your Google Cloud Platform (GCP) Costs,https://www.classcentral.com/course/gcp-cost-optimization-18114,Google Cloud
1064,用Python玩转数据 Data Processing Using Python,https://www.classcentral.com/course/hipython-4286,Nanjing University
1065,Practical SAS Programming and Certification Review,https://www.classcentral.com/course/sas-programming-certification-review-12859,SAS
1066,面向对象技术高级课程（The Advanced Object-Oriented Technology）,https://www.classcentral.com/course/aoo-1737,Peking University
1067,Java程序设计,https://www.classcentral.com/course/pkujava-3227,Peking University
1068,C#程序设计,https://www.classcentral.com/course/sheng-c-biancheng-6294,Peking University
1069,软件工程,https://www.classcentral.com/course/se-6082,Peking University
1070,Основы программирования на Python,https://www.classcentral.com/course/python-osnovy-programmirovaniya-8477,Higher School of Economics
1071,Документы и презентации в LaTeX (Introduction to LaTeX),https://www.classcentral.com/course/latex-1377,Higher School of Economics
1072,Developing Android Apps with App Inventor,https://www.classcentral.com/course/app-inventor-android-8687,The Hong Kong University of Science and Technology
1073,Projet de programmation (en Java),https://www.classcentral.com/course/projet-programmation-java-12186,École Polytechnique Fédérale de Lausanne
1074,[New] 1C:Enterprise Junior Developer Course,https://www.classcentral.com/course/1c-enterprise-junior-developer-course-32613,Moscow Institute of Physics and Technology
1075,計算機程式設計 (Computer Programming),https://www.classcentral.com/course/c-bian-cheng-2337,National Taiwan University
1076,用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)),https://www.classcentral.com/course/pbc1-10425,National Taiwan University
1077,用 Python 做商管程式設計（三）(Programming for Business Computing in Python (3)),https://www.classcentral.com/course/pbc3-11205,National Taiwan University
1078,The Development of Mobile Health Monitoring Systems,https://www.classcentral.com/course/mobile-health-monitoring-systems-12685,Saint Petersburg State University
1079,Introducción a Java,https://www.classcentral.com/course/introjava-4621,Universidad Nacional Autónoma de México
1080,Использование механизмов операционных систем в разработке программного обеспечения,https://www.classcentral.com/course/os-v-razrabotke-po-10036,National Research Nuclear University MEPhI
1081,[New] AWS Cloud Practitioner Essentials,https://www.classcentral.com/course/aws-cloud-practitioner-essentials-32115,Amazon Web Services
1082,Introdução à Ciência da Computação com Python Parte 2,https://www.classcentral.com/course/ciencia-computacao-python-conceitos-2-8600,Universidade de São Paulo
1083,Introdução ao Teste de Software,https://www.classcentral.com/course/intro-teste-de-software-10389,Universidade de São Paulo
1084,Preparing for the Google Cloud Professional Cloud Architect Exam em Português Brasileiro,https://www.classcentral.com/course/preparing-cloud-professional-cloud-architect-exam-17890,Google Cloud
1085,Introduction to Augmented Reality and ARCore,https://www.classcentral.com/course/ar-11596,Google Daydream Impact
1086,VR and 360 Video Production,https://www.classcentral.com/course/360-vr-video-production-9814,Google Daydream Impact
1087,[New] Building Cloud Native and Multicloud,https://www.classcentral.com/course/ibm-building-cloud-native-and-multicloud-32718,IBM
1088,软件测试 (Software Testing),https://www.classcentral.com/course/softwaretesting-3357,Nanjing University
